syn_error_rate,connection_time,destination_same_source_port_rate,destination_different_server_rate,connection_status,connection_count,destination_server_different_host_rate,suspicious_activity,protocol,server_different_host_rate,destination_server_syn_error_rate,destination_host_server_count,destination_same_server_rate,fragment_errors,compromised_count,source_bytes,service_type,destination_syn_error_rate,same_server_rate,reset_error_rate,server_request_count,destination_server_reset_error_rate,server_reset_error_rate,server_syn_error_rate,destination_bytes,guest_login,authentication_status,destination_host_count,destination_reset_error_rate,different_server_rate,class
0.0,0,1.0,0.21,SF,5,0.0,0,udp,0.0,0.0,5,0.02,0,0,1,private,0.0,1.0,0.0,5,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
0.0,0,0.68,0.02,SF,511,0.0,0,icmp,0.0,0.0,174,0.68,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
1.0,0,0.0,0.05,S0,148,0.0,0,tcp,0.0,1.0,24,0.09,0,0,0,kshell,1.0,0.16,0.0,24,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.05,S0,239,0.0,0,tcp,0.0,1.0,6,0.02,0,0,0,echo,1.0,0.03,0.0,6,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.05,S0,120,0.0,0,tcp,0.0,1.0,18,0.07,0,0,0,courier,1.0,0.15,0.0,18,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.09,S0,239,0.0,0,tcp,0.0,1.0,4,0.02,0,0,0,mtp,1.0,0.05,0.0,12,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,1.0,0.0,SF,129,0.0,0,icmp,0.0,0.0,255,1.0,0,0,520,ecr_i,0.0,1.0,0.0,129,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
1.0,0,0.0,0.06,S0,113,0.0,0,tcp,0.0,1.0,1,0.0,0,0,0,klogin,1.0,0.01,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.06,S0,221,0.0,0,tcp,0.0,1.0,3,0.01,0,0,0,private,1.0,0.01,0.0,3,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,0,0.0,0.08,RSTO,179,0.0,0,tcp,0.0,0.0,7,0.03,0,0,0,sunrpc,0.0,0.04,1.0,7,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,83,1.0,0,0,8,eco_i,0.0,1.0,0.0,20,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
1.0,0,0.0,0.06,S0,176,0.0,0,tcp,0.0,1.0,12,0.05,0,0,0,private,1.0,0.02,0.0,3,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
1.0,0,0.0,0.07,S0,205,0.0,0,tcp,0.0,1.0,8,0.03,0,0,0,private,1.0,0.1,0.0,20,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.05,S0,108,0.0,0,tcp,0.0,1.0,15,0.06,0,0,0,private,1.0,0.14,0.0,15,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.07,S0,108,0.0,0,tcp,0.0,1.0,11,0.04,0,0,0,private,1.0,0.15,0.0,16,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.0,0.06,RSTO,264,0.0,0,tcp,0.0,0.0,13,0.05,0,0,0,daytime,0.0,0.05,1.0,13,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
1.0,0,0.0,0.05,S0,287,0.0,0,tcp,0.0,1.0,24,0.09,0,0,0,auth,1.0,0.08,0.0,24,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,0,0.21,0.04,SF,511,0.0,0,icmp,0.0,0.0,53,0.21,0,0,1032,ecr_i,0.21,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.02,0.0,anomaly
0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,231,1.0,0,0,8,eco_i,0.0,1.0,0.0,16,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
1.0,0,0.0,0.06,S0,223,0.0,0,tcp,0.0,1.0,17,0.07,0,0,0,echo,1.0,0.08,0.0,17,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.49,0.54,REJ,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.04,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.49,0.0,anomaly
0.0,0,0.0,0.08,REJ,246,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,vmnet,0.0,0.0,1.0,1,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
1.0,0,0.0,0.06,S0,205,0.0,0,tcp,0.0,1.0,11,0.04,0,0,0,private,1.0,0.02,0.0,5,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.01,0,0.0,0.44,REJ,85,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,0.01,0.92,1,1.0,1.0,0.0,0,0,0,210,0.39,1.0,anomaly
0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,95,1.0,0,0,8,eco_i,0.0,1.0,0.0,17,0.0,0.0,0.0,0,0,0,3,0.0,0.0,anomaly
0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,212,1.0,0,0,8,eco_i,0.0,1.0,0.0,44,0.0,0.0,0.0,0,0,0,4,0.0,0.0,anomaly
1.0,0,0.0,0.09,S0,47,0.0,0,tcp,0.0,1.0,19,0.07,0,0,0,private,1.0,0.21,0.0,10,0.0,0.0,1.0,0,0,0,255,0.0,0.13,anomaly
0.0,0,0.0,0.09,REJ,213,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,0.0,1.0,1,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
0.0,0,0.0,0.07,RSTO,252,0.0,0,tcp,0.0,0.0,2,0.01,0,0,0,time,0.0,0.01,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
0.75,0,0.13,0.87,SF,133,0.0,0,udp,0.0,0.0,33,0.13,3,0,28,private,0.09,0.25,0.0,33,0.0,0.0,0.0,0,0,0,255,0.78,0.05,anomaly
1.0,0,0.0,0.07,S0,270,0.0,0,tcp,0.0,1.0,1,0.0,0,0,0,netbios_dgm,1.0,0.0,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.08,0,0.0,1.0,REJ,509,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,other,0.07,0.0,0.92,1,1.0,1.0,0.0,0,0,0,255,0.93,1.0,anomaly
1.0,0,0.0,0.07,S0,141,0.0,0,tcp,0.0,1.0,10,0.04,0,0,0,private,1.0,0.07,0.0,10,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.06,0.0,SF,4,0.0,2,tcp,0.0,0.0,18,1.0,0,1,54540,http,0.0,1.0,0.0,4,0.06,0.0,0.0,8314,0,1,18,0.06,0.0,anomaly
1.0,0,0.0,0.07,S0,227,0.0,0,tcp,0.0,1.0,16,0.06,0,0,0,systat,1.0,0.07,0.0,15,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.06,S0,240,0.0,0,tcp,0.0,1.0,9,0.04,0,0,0,ldap,1.0,0.04,0.0,9,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.0,0.0,SF,3,0.0,2,tcp,0.0,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.33,3,0.02,0.33,0.0,8314,0,1,255,0.02,0.0,anomaly
0.0,0,0.0,0.08,REJ,204,0.0,0,tcp,0.0,0.0,2,0.01,0,0,0,systat,0.0,0.01,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
1.0,0,0.0,0.07,S0,147,0.0,0,tcp,0.0,1.0,19,0.07,0,0,0,rje,1.0,0.13,0.0,19,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,51,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
1.0,0,0.0,0.07,S0,263,0.0,0,tcp,0.0,1.0,5,0.02,0,0,0,bgp,1.0,0.02,0.0,5,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.06,S0,111,0.0,0,tcp,0.0,1.0,15,0.06,0,0,0,courier,1.0,0.14,0.0,15,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.01,0.06,S0,76,0.0,0,tcp,0.0,1.0,36,0.14,0,0,0,ftp_data,1.0,0.21,0.0,16,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,0,1.0,0.0,SF,1,0.25,0,icmp,0.0,0.0,208,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,4,0.0,0.0,anomaly
0.0,0,0.4,0.02,SF,101,0.0,0,icmp,0.0,0.0,101,0.4,0,0,1032,ecr_i,0.0,1.0,0.0,101,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
0.0,0,0.66,0.67,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.67,0.0,anomaly
1.0,0,0.01,0.06,S0,131,0.0,0,tcp,0.0,1.0,11,0.06,0,0,0,private,1.0,0.08,0.0,11,0.0,0.0,1.0,0,0,0,186,0.0,0.06,anomaly
1.0,0,0.0,0.07,S0,300,0.0,0,tcp,0.0,1.0,2,0.01,0,0,0,private,1.0,0.02,0.0,6,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.01,0.05,S0,50,0.0,0,tcp,0.0,1.0,47,0.18,0,0,0,telnet,1.0,0.24,0.0,12,0.0,0.0,1.0,0,0,0,255,0.0,0.08,anomaly
1.0,0,0.01,0.09,S0,298,0.0,0,tcp,0.0,1.0,1,0.0,0,0,0,private,1.0,0.02,0.0,6,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,1.0,0.06,SF,48,0.0,0,udp,0.0,0.0,87,0.34,0,0,1,private,0.0,0.44,0.0,21,0.0,0.0,0.0,0,0,0,255,0.0,0.08,anomaly
1.0,0,0.0,0.07,S0,114,0.0,0,tcp,0.0,1.0,8,0.03,0,0,0,Z39_50,1.0,0.07,0.0,8,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,255,1.0,0,0,8,eco_i,0.0,1.0,0.0,32,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
1.0,0,0.0,0.05,S0,113,0.0,0,tcp,0.0,1.0,11,0.04,0,0,0,courier,1.0,0.1,0.0,11,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.07,S0,115,0.0,0,tcp,0.0,1.0,13,0.05,0,0,0,Z39_50,1.0,0.1,0.0,12,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.08,S0,289,0.0,0,tcp,0.0,1.0,6,0.02,0,0,0,private,1.0,0.04,0.0,11,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.0,0.08,REJ,202,0.0,0,tcp,0.0,0.0,2,0.01,0,0,0,supdup,0.0,0.01,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
1.0,0,0.0,0.08,S0,130,0.0,0,tcp,0.0,1.0,1,0.0,0,0,0,private,1.0,0.01,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.08,anomaly
1.0,0,0.0,0.07,S0,203,0.0,0,tcp,0.0,1.0,16,0.06,0,0,0,discard,1.0,0.06,0.0,13,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,2,0.03,0.0,SF,3,0.0,2,tcp,0.0,0.0,34,1.0,0,1,54540,http,0.0,1.0,0.0,3,0.32,0.0,0.0,8314,0,1,34,0.32,0.0,anomaly
0.0,0,0.0,0.07,REJ,262,0.0,0,tcp,0.0,0.0,2,0.01,0,0,0,link,0.0,0.01,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
1.0,0,0.0,0.06,S0,110,0.0,0,tcp,0.0,1.0,30,0.12,0,0,0,private,1.0,0.09,0.0,10,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.05,S0,273,0.0,0,tcp,0.0,1.0,23,0.09,0,0,0,ftp,1.0,0.08,0.0,23,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.01,0.07,S0,94,0.0,0,tcp,0.0,1.0,11,0.07,0,0,0,private,1.0,0.12,0.0,11,0.0,0.0,1.0,0,0,0,148,0.0,0.06,anomaly
1.0,0,0.0,0.07,S0,98,0.0,0,tcp,0.0,1.0,5,0.02,0,0,0,private,1.0,0.05,0.0,5,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.08,S0,40,0.0,0,tcp,0.0,1.0,12,0.05,0,0,0,private,1.0,0.3,0.0,12,0.0,0.0,1.0,0,0,0,255,0.0,0.12,anomaly
1.0,0,0.0,0.08,S0,202,0.0,0,tcp,0.0,1.0,19,0.07,0,0,0,private,1.0,0.09,0.0,19,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,81,1.0,0,0,8,eco_i,0.0,1.0,0.0,35,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
1.0,0,0.0,0.05,S0,204,0.0,0,tcp,0.0,1.0,24,0.09,0,0,0,domain,1.0,0.12,0.0,24,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.06,S0,132,0.0,0,tcp,0.0,1.0,11,0.04,0,0,0,private,1.0,0.03,0.0,4,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.0,0.07,RSTO,168,0.0,0,tcp,0.0,0.0,2,0.01,0,0,0,nntp,0.0,0.01,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
1.0,0,0.0,0.08,S0,125,0.0,0,tcp,0.0,1.0,12,0.05,0,0,0,private,1.0,0.1,0.0,13,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.07,S0,254,0.0,0,tcp,0.0,1.0,15,0.06,0,0,0,private,1.0,0.06,0.0,15,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.07,S0,232,0.0,0,tcp,0.0,1.0,11,0.04,0,0,0,private,1.0,0.05,0.0,12,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.04,S0,135,0.0,0,tcp,0.0,1.0,21,0.08,0,0,0,private,1.0,0.16,0.0,21,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.07,S0,236,0.0,0,tcp,0.0,1.0,20,0.08,0,0,0,private,1.0,0.06,0.0,14,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,0,0.0,0.07,REJ,66,0.0,0,tcp,0.0,0.0,11,0.04,0,0,0,private,0.0,0.17,1.0,11,1.0,1.0,0.0,0,0,0,255,1.0,0.09,anomaly
0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,129,1.0,0,0,8,eco_i,0.0,1.0,0.0,34,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
0.0,41476,0.51,0.26,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,private,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,246,0.51,0.0,anomaly
0.0,1,0.07,0.0,RSTR,3,0.0,1,tcp,0.0,0.0,15,1.0,0,0,45260,http,0.0,1.0,0.67,3,0.47,0.67,0.0,4380,0,1,15,0.47,0.0,anomaly
1.0,0,0.0,0.07,S0,260,0.0,0,tcp,0.0,1.0,8,0.03,0,0,0,daytime,1.0,0.03,0.0,8,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,1,1.0,1.0,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
1.0,0,0.0,0.08,S0,116,0.0,0,tcp,0.0,1.0,2,0.01,0,0,0,csnet_ns,1.0,0.06,0.0,7,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.07,S0,60,0.0,0,tcp,0.0,1.0,13,0.05,0,0,0,netbios_dgm,1.0,0.22,0.0,13,0.0,0.0,1.0,0,0,0,255,0.0,0.1,anomaly
0.0,0,1.0,0.0,SF,1,0.12,0,tcp,0.0,0.02,48,1.0,0,0,334,ftp_data,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,1,13,0.0,0.0,anomaly
0.0,0,0.35,0.05,SF,32,0.0,0,udp,0.0,0.0,32,0.32,0,0,1,private,0.0,1.0,0.0,32,0.0,0.0,0.0,0,0,0,100,0.0,0.0,anomaly
1.0,0,0.06,0.06,S0,22,0.29,0,tcp,0.0,0.29,7,0.03,0,0,0,finger,0.97,0.09,0.0,2,0.0,0.0,1.0,0,0,0,64,0.0,0.09,anomaly
1.0,0,0.0,0.08,S0,3,0.0,0,tcp,0.0,1.0,22,0.09,0,0,0,telnet,1.0,0.67,0.0,2,0.0,0.0,1.0,0,0,0,255,0.0,0.67,anomaly
0.0,0,1.0,0.04,SF,146,0.0,0,udp,0.0,0.0,166,0.65,0,0,1,private,0.0,0.86,0.0,126,0.0,0.0,0.0,0,0,0,255,0.0,0.03,anomaly
1.0,0,0.0,0.08,S0,236,0.0,0,tcp,0.0,1.0,7,0.03,0,0,0,gopher,1.0,0.02,0.0,5,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.0,0.07,RSTO,121,0.0,0,tcp,0.0,0.0,19,0.07,0,0,0,exec,0.0,0.16,1.0,19,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
0.0,0,0.0,0.08,REJ,220,0.0,0,tcp,0.0,0.0,12,0.05,0,0,0,ftp_data,0.0,0.05,1.0,12,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
1.0,0,0.0,0.07,S0,240,0.0,0,tcp,0.0,1.0,1,0.0,0,0,0,finger,1.0,0.0,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.84,0.02,SF,1,0.0,0,udp,0.0,0.0,81,0.84,0,0,215,private,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,97,0.0,0.0,anomaly
0.0,0,0.67,0.48,SF,13,0.0,0,udp,0.0,0.0,1,0.0,0,0,1,private,0.0,0.08,0.0,1,0.0,0.0,0.0,0,0,0,255,0.33,0.31,anomaly
0.0,0,0.0,0.08,REJ,228,0.0,0,tcp,0.0,0.0,15,0.06,0,0,0,systat,0.0,0.07,1.0,15,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
1.0,0,0.0,0.07,S0,292,0.0,0,tcp,0.0,1.0,9,0.04,0,0,0,private,1.0,0.05,0.0,16,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,0,0.0,0.08,REJ,270,0.0,0,tcp,0.0,0.0,20,0.08,0,0,0,ftp_data,0.0,0.07,1.0,20,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
0.0,0,0.0,0.07,REJ,247,0.0,0,tcp,0.0,0.0,8,0.03,0,0,0,uucp_path,0.0,0.03,1.0,8,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
0.07,0,0.0,1.0,REJ,500,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,other,0.04,0.0,0.93,1,1.0,1.0,0.0,0,0,0,255,0.96,1.0,anomaly
1.0,0,0.0,0.07,S0,255,0.0,0,tcp,0.0,1.0,10,0.04,0,0,0,csnet_ns,1.0,0.04,0.0,10,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.68,0.36,RSTO,173,0.0,0,tcp,0.0,0.0,3,0.01,0,0,0,finger,0.0,0.01,1.0,1,0.33,1.0,0.0,0,0,0,255,0.93,0.53,anomaly
1.0,0,0.0,0.07,S0,143,0.0,0,tcp,0.0,1.0,2,0.01,0,0,0,login,1.0,0.1,0.0,14,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.03,0,0.0,0.97,REJ,265,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.04,0.0,0.94,1,1.0,1.0,0.0,0,0,0,255,0.92,1.0,anomaly
1.0,0,0.0,0.05,S0,275,0.0,0,tcp,0.0,1.0,8,0.03,0,0,0,ftp_data,1.0,0.03,0.0,8,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,38818,1.0,0.51,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,private,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
0.0,0,0.0,0.07,REJ,275,0.0,0,tcp,0.0,0.0,14,0.05,0,0,0,ctf,0.0,0.05,1.0,14,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
1.0,0,0.0,0.07,S0,240,0.0,0,tcp,0.0,1.0,19,0.07,0,0,0,mtp,1.0,0.08,0.0,19,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.05,S0,234,0.0,0,tcp,0.0,1.0,16,0.06,0,0,0,private,1.0,0.07,0.0,16,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
1.0,0,0.0,0.05,S0,146,0.0,0,tcp,0.0,1.0,7,0.03,0,0,0,nnsp,1.0,0.02,0.0,3,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.05,S0,273,0.0,0,tcp,0.0,1.0,24,0.09,0,0,0,gopher,1.0,0.09,0.0,24,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,54,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,113,1.0,0,0,8,eco_i,0.0,1.0,0.0,8,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
1.0,0,0.0,0.05,S0,58,0.0,0,tcp,0.0,1.0,20,0.08,0,0,0,private,1.0,0.02,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.09,anomaly
